Book-ID,Book-Title,Book-Genre,Book-Author,Year-Of-Publication,Publisher,Image-URL-M
195153448,Classical Mythology,"Mythology, History",Mark P. O. Morford,2002,Oxford University Press,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg
2005018,Clara Callan,"Historical Fiction, Literary Fiction",Richard Bruce Wright,2001,HarperFlamingo Canada,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg
60973129,Decision in Normandy,"History, Military",Carlo D'Este,1991,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,"Non-Fiction, Medical History",Gina Bari Kolata,1999,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg
393045218,The Mummies of Urumchi,"Archaeology, History",E. J. W. Barber,1999,W. W. Norton &amp, Company
399135782,The Kitchen God's Wife,"Historical Fiction, Contemporary",Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,"Alternative History, Non-Fiction",Robert Cowley,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg
671870432,PLEADING GUILTY,Legal Thriller,Scott Turow,1993,Audioworks,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,"History, Non-Fiction",David Cordingly,1996,Random House,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg
074322678X,Where You'll Find Me: And Other Stories,"Short Stories, Literary Fiction",Ann Beattie,2002,Scribner,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg
771074670,Nights Below Station Street,Literary Fiction,David Adams Richards,1988,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg
